Serie,Sysser,Isomap-1,Isomap-2,Isomap-3,Isomap-4
DELFT Series,36,5.719233789060225,0.8628419428232881,-1.035648783364354,0.7643998503470543
DELFT Series,37,6.270396764154833,2.448955710261654,0.8869449287321657,-1.7615986067182015
DELFT Series,38,10.002735468588515,0.1890949730787232,-3.1962863117312827,0.30282856868074404
DELFT Series,39,4.00370034893701,-0.5121163061215258,-0.26255470214906307,-0.4263491547605235
DELFT Series,4,-5.476101408464661,-0.04517555971221278,-1.353615747953189,-0.5429546312619771
DELFT Series,42,-2.96980499531376,-1.5116827899489884,0.23384906392920177,2.164178353638035
DELFT Series,43,-1.4650580641183297,-0.7701213425452874,-1.2766358603054004,0.01459222731736356
DELFT Series,44,-2.2552080956860885,-0.9878287956641849,0.030337337962632466,1.0994500130818392
DELFT Series,45,-4.128069263148305,-2.376693839341798,0.9528851581121794,3.1085651532942458
DELFT Series,46,-1.1622670542357514,-0.6453818247098498,-0.6866677142798834,0.2357066907941748
DELFT Series,47,1.2103853912397886,-2.9527981818307882,-0.4577250770680685,0.6049250756241606
DELFT Series,48,-0.7053866897070631,2.1667609208514724,-0.8667303712499176,2.7050952012615586
DELFT Series,49,1.4550316747946836,-3.3365965327421065,-0.48297439359851396,0.607810088149109
DELFT Series,5,-5.627903203348496,-0.2142524697355033,-0.7701864799506184,-0.5626923885574255
DELFT Series,50,1.3289664978326825,-3.6931280565231903,-0.38140728646967026,0.8610962936237642
DELFT Series,6,-6.5682202582248905,-0.8019312073502621,-0.3752204549258805,0.4231894805581197
DELFT Series,60,0.9957012470229326,-1.5183544518628922,-0.07298830915791817,-0.6121232144950938
DELFT Series,61,1.894303558739565,-2.4719757929491917,-0.45873729161062476,-0.7512864090496574
DELFT Series,62,-0.2511266846241638,-0.6078581038746949,2.464307477376839,-1.9868060456132595
DELFT Series,7,-4.30895954353415,0.15003484526011393,-2.079551034159932,-1.6840978318867295
DELFT Series,71,-0.6650591819570603,-4.247629083949735,3.3853685025105853,1.811546052357301
DELFT Series,72,3.868172646801959,-2.25253700907839,3.0675652542507112,0.18068418675612824
DELFT Series,73,2.500631494572442,-3.8828633110073225,2.305191850026971,-1.031588337138041
Il Moro di Venezia' Series,IACC 10,3.3290893136807975,3.3770450678743034,0.7505806395019062,0.17117386164287482
Il Moro di Venezia' Series,IACC 11,1.9342300174986127,2.1997542159579453,2.3380763530643884,-0.6374204208855312
Il Moro di Venezia' Series,IACC 14,1.6634087442048875,0.7552645253896375,1.7866506467344387,-0.49724191703369996
Il Moro di Venezia' Series,IACC 15,1.5538914573464617,0.30030858664162696,2.1166071686647996,-1.1618644392041992
Il Moro di Venezia' Series,IACC 16,2.0134842897771796,2.190112522158868,0.14375428847010033,0.8257293244170169
Il Moro di Venezia' Series,IACC 17,1.7710379547949786,-0.5879535488640014,1.9617473958338836,-1.2460329464975104
Il Moro di Venezia' Series,IACC 19,1.7363782198430802,-1.0238491042412896,1.4712865666387807,-0.8525236625972534
Il Moro di Venezia' Series,IACC 2,1.991182604802732,2.6402706970879417,2.116845092083898,-0.5805033961321024
Il Moro di Venezia' Series,IACC 3,2.5006282065268106,2.93069147716321,2.1357956370094193,0.02895158922657492
Il Moro di Venezia' Series,IACC 4,1.6745983548221675,2.3848213767172393,1.5645993812602699,0.7816928100629248
Il Moro di Venezia' Series,IACC 5,2.519483623965057,3.6940508749448315,1.8392857793430586,0.7514506128777553
Il Moro di Venezia' Series,IACC 6,1.1832181527058891,4.352341034553524,-0.0412927858436265,0.9957903810097993
Il Moro di Venezia' Series,IACC 7,1.9568592163938996,3.2359586061105676,1.307296791338255,0.9634130866796538
Il Moro di Venezia' Series,IACC 9,2.390753881290824,3.4335773906569798,3.021790813009504,0.3078271562244185
US Series,USS1,-1.7876821093515165,-3.038224628878563,0.8494998783063981,2.470658195580186
US Series,USS2,-1.079406483242899,-2.725047167663859,-0.3658368410633179,1.4415021360384648
US Series,USS3,-0.34004523490395416,-2.675652295664108,-1.8407444668389301,0.36610634730342806
US Series,USS4,0.46658593053599634,-1.6981030764524865,1.029846252926793,-0.28162264836991485
