Serie,Sysser,LLE-1,LLE-2,LLE-3,LLE-4
DELFT Series,37,0.02304532083319542,-0.006198881072835493,0.19054040703292455,-0.14677811613285002
DELFT Series,38,0.004094733802573323,-0.3235520010454807,0.19931343281056468,0.13846803233928046
DELFT Series,39,0.053989274394667615,-0.04846187373034903,0.01872656504257398,0.08848501048664828
DELFT Series,4,-0.16893457978184914,0.006570020222903138,-0.05860060639449556,-0.04970293585737661
DELFT Series,42,0.05451883989237132,0.08752865030963543,-0.1040537477012955,0.06927406958894965
DELFT Series,43,0.04943722788852188,-0.023861155681287976,-0.06228676457479264,0.09902524014805886
DELFT Series,44,0.054729227379048895,0.05204596212736771,-0.08448683964545582,0.06758809654484987
DELFT Series,45,0.08564611891383457,0.16545587532247685,-0.13030959736259892,-0.009919075843007646
DELFT Series,46,0.05384846884724949,0.008206607621217332,-0.05060621579040516,0.061824095500225905
DELFT Series,47,0.043972928521077544,-0.010006263443885227,-0.02574203199683288,0.08737671850703206
DELFT Series,48,0.01792608073534946,-0.09526476795344906,0.01596487046238973,0.10211261403380412
DELFT Series,49,0.04251780587046989,-0.045304578185121944,-0.05374113582920084,0.16210005560191562
DELFT Series,5,-0.17415670243454753,0.06671577538300628,-0.05250441581720281,0.05510122571161238
DELFT Series,50,0.049320115261154485,-0.0409722696231742,-0.028250984982344466,0.10555082851932206
DELFT Series,6,-0.16298793393344832,0.08737316482161793,-0.10757996754514527,-0.0022569096349790694
DELFT Series,60,0.048226058758727555,0.0374944756371146,0.0081123546889887,0.00607764018621451
DELFT Series,61,0.03866612380968182,-0.010942110929553018,-0.001730410080230952,0.07892280408722518
DELFT Series,62,0.05650723999745827,0.135829272027657,0.03510753283821238,-0.1272907500677412
DELFT Series,7,-0.16146639640214513,0.02726578496590662,0.0005445258752007749,0.02014164978256312
DELFT Series,71,0.32130868090460646,0.02797491177231893,-0.35244042485494576,-0.09966766231210246
DELFT Series,72,0.3217373187534601,-0.044673822660034064,-0.2675719248242316,-0.11955023889824651
DELFT Series,73,0.3134161306790707,-0.04686650378938392,-0.2831023649523685,-0.10606630402862245
Il Moro di Venezia' Series,IACC 10,0.03141682150669753,0.0022520147061638445,0.18036940207611768,-0.1731260041303842
Il Moro di Venezia' Series,IACC 11,0.03719984039312026,0.09080848745074123,0.12825832121818742,-0.17440249004996633
Il Moro di Venezia' Series,IACC 14,0.040069406049546924,0.09601740019431669,0.02246295582830369,-0.03415292297139765
Il Moro di Venezia' Series,IACC 15,0.047370098591259915,0.13047238960512558,0.04074186650936932,-0.09348113604030305
Il Moro di Venezia' Series,IACC 16,0.034616182456488086,-0.04610521137780054,0.09390125467833847,-0.03188854580814105
Il Moro di Venezia' Series,IACC 17,0.043235188039466584,0.13339820912287748,0.027690111068674743,-0.06333675579468266
Il Moro di Venezia' Series,IACC 19,0.047273531025532875,0.09072382373396326,-0.008250943151650196,0.009911013620297254
Il Moro di Venezia' Series,IACC 2,0.03772613447889746,0.08313072632680223,0.12328964018773045,-0.16520085507153318
Il Moro di Venezia' Series,IACC 3,0.03998439645081764,0.05616747126059678,0.15500835004181412,-0.1950625293831398
Il Moro di Venezia' Series,IACC 4,0.029814541226364066,0.04381804495892518,0.06087717695747497,-0.045851930237554295
Il Moro di Venezia' Series,IACC 5,0.043614452817291684,0.06803754412862457,0.2378648003921152,-0.3246755892743709
Il Moro di Venezia' Series,IACC 6,0.011960613111003585,-0.03220984618774433,0.10713880681986543,-0.05239860153765175
Il Moro di Venezia' Series,IACC 7,0.04336113354888009,0.040669671692122024,0.1932160784724187,-0.24532680852382155
Il Moro di Venezia' Series,IACC 9,0.044305181839930964,0.10143662387328539,0.15170600798307637,-0.24257382180625994
US Series,USS1,0.05880191491305337,0.07423698691248641,-0.10660946736665673,0.09360406435848623
US Series,USS2,0.0543194952025085,-0.0014119690809494476,-0.09709781170839869,0.14198045349322036
US Series,USS3,0.048640747800311405,-0.0651159026883958,-0.0809021382247011,0.17492614514344088
US Series,USS4,0.06154764311247141,0.04289582652777586,-0.03623792279162184,0.04222824982718655
