Serie,Sysser,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw,mean_response,median_response,min_response,max_response,std_response,n_records
DELFT Series,4,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171,37.03890099372728,10.89053886,0.405858591,123.9492137,46.11747428237063,11
DELFT Series,42,0.554023031,0.711203229,0.394022969,0.670494803,3.318951116,3.710591316,12.31527119,4.698664459,-0.0328,-0.064099997,0.511700486,5.522676416,4.460087971,1.238243831,14.37645631,0.086129976,64.09337670257142,37.163971595,0.328462757,160.9361553,66.08992701451785,14
DELFT Series,43,0.553492536,0.711837467,0.393996725,0.671658874,2.783964411,6.290718163,17.51313548,4.983238328,-0.0328,-0.064899998,0.505392925,6.57543735,5.991125189,1.09752962,18.13627411,0.060515716,62.20889914085715,37.381856915,0.556145969,157.8569775,62.76322474489984,14
DELFT Series,44,0.553903474,0.711552585,0.394131448,0.668005705,3.318951116,4.424376042,14.6842878,4.982005678,-0.032899999,-0.0625,0.526399977,5.914942455,4.99560109,1.18403018,16.32258094,0.072539397,63.36914891200001,49.11925153,0.467321241,149.7954032,60.50916861707592,13
DELFT Series,45,0.553971955,0.711323109,0.394053054,0.667808535,4.175365393,2.794632381,11.66861133,4.98180038,-0.0328,-0.062399997,0.525641047,5.455314165,3.969448033,1.374325629,15.05545435,0.091284235,57.24879578692857,37.027472935,0.353604789,139.5602331,57.473137325539845,14
DELFT Series,46,0.553316876,0.712255506,0.394102991,0.668071531,3.318951116,5.569316471,18.48428912,5.379368462,-0.032899999,-0.062599999,0.525559091,6.563049855,5.824849308,1.126732986,19.5348874,0.057677987,57.42440640869231,46.18927622,0.683696688,135.9284415,53.655808032457095,13
DELFT Series,47,0.547709649,0.748731875,0.410087672,0.699065487,3.336670115,6.042338546,20.16129045,5.47417018,-0.060199997,-0.083999996,0.716666665,6.933060384,6.278287209,1.104291689,20.7870887,0.053123922,39.5093447712,11.56125865,0.636706998,124.6940389,46.78391581169385,15
DELFT Series,48,0.556938883,0.725419483,0.404014316,0.689522517,3.336670115,5.796905001,19.34235968,5.425944209,-0.0065,-0.050299997,0.129224653,6.792302018,6.083952706,1.116429129,20.52578859,0.054391534,55.53438720307143,38.19693612,0.538444636,136.2264928,53.99874981344263,14
DELFT Series,49,0.565967556,0.743465995,0.420777633,0.698960775,3.352329891,6.306553904,21.14164916,5.522609324,-0.0634,-0.084299996,0.752075955,7.028848891,6.359086,1.105323767,21.96949453,0.050311752,52.09541860285714,34.072834470000004,0.498920575,132.489219,51.23868971450965,14
DELFT Series,5,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145,44.77157986981818,10.18118481,0.312358075,162.6879043,59.95936308483935,11
